#              ************************************
#              *****    GLOBAL ATTRIBUTES    ******
#              ************************************
#
#     TITLE                           PSP FIELDS Fluxgate Magnetometer (MAG) data
#     PROJECT                         PSP
#     DISCIPLINE                      Solar Physics>Heliospheric Physics
#                                     Space Physics>Interplanetary Studies
#     SOURCE_NAME                     PSP_FLD>Parker Solar Probe FIELDS
#     DESCRIPTOR                      MAG_RTN_1min>Fluxgate Magnetometer data in RTN coordinates
#     DATA_TYPE                       L2>Level 2 Data
#     DATA_VERSION                    01
#     TEXT                            PSP FIELDS Fluxgate Magnetometer data. Time resolution varies with instrument                          
#     TEXT                             mode, ranging from 2.3-292.9 samples/sec, corresponding to 2-256 samples per                          
#                                      0.874 seconds (0.874 = 2^25 / 38.4 MHz, see reference [2]).                                           
#                                     The Magnetometer has 4 ranges - +/-1024, +/-4096, +/-16,384, +/-65,536 nT, selected                    
#                                      by the ranging algorithm, based on the ambient magnetic field. Precision is                           
#                                      +/- 15 bits, based on the 16-bit ADC.                                                                 
#                                     References:
#                                     1. Fox, N.J., Velli, M.C., Bale, S.D. et al. Space Sci Rev (2016) 204: 7. https://doi.org/10.1007/s1121
#                                     2. Bale, S.D., Goetz, K., Harvey, P.R. et al. Space Sci Rev (2016) 204: 49.                            
#                                      https://doi.org/10.1007/s11214-016-0244-5                                                             
#     MODS                            Version 1
#     LOGICAL_FILE_ID                 psp_fld_l2_mag_RTN_1min_20190220_v01
#     LOGICAL_SOURCE                  psp_fld_l2_mag_RTN_1min
#     LOGICAL_SOURCE_DESCRIPTION      PSP FIELDS 1 minute cadence Fluxgate Magnetometer (MAG) data in RTN coordinates
#     PI_NAME                         Stuart D. Bale (bale@berkeley.edu)
#     PI_AFFILIATION                  UC Berkeley Space Sciences Laboratory
#     INSTRUMENT_TYPE                 Magnetic Fields (space)
#     MISSION_GROUP                   Parker Solar Probe (PSP)
#     PARENTS                         spp_fld_l1_mago_hk_20190220_v00.cdf
#                                     spp_fld_l1_mago_hk_20190221_v00.cdf, spp_fld_l1_mago_survey_20190220_v00.cdf
#                                     spp_fld_l1_mago_survey_20190221_v00.cdf
#     MAG_OFFSET_CALIBRATION_FILES    psp_mago_zeros_range0_2019_v03.dat
#     DEPENDENCIES                    None
#     FILE_NAMING_CONVENTION          source_datatype_descriptor_yyyyMMdd
#     SPASE_DATASETRESOURCEID         spase://NASA/NumericalData/ParkerSolarProbe/FIELDS/MAG/Level2/RTN/PT1M
#     GENERATED_BY                    PSP FIELDS SOC
#     RULES_OF_USE                    PSP/FIELDS Rules of the Road available at http://fields.ssl.berkeley.edu/rules/
#     GENERATION_DATE                 Tue Nov  5 21:37:36 2019
#     HTTP_LINK                       http://fields.ssl.berkeley.edu/data/
#     LINK_TEXT                       PSP/FIELDS SOC
#     LINK_TITLE                      Data Link
#     TIME_RESOLUTION                 1 minute
#     SVN_VERSION                     25679
#     CDAWEB_PARENTS                  psp_fld_l2_mag_rtn_1min_00000000_v01
#                                     psp_fld_l2_mag_rtn_1min_20181120_v02
#     CDFMAJOR                        COL_MAJOR
#
#              ************************************
#              ****  RECORD VARYING VARIABLES  ****
#              ************************************
#
#  1. Time in TT2000 for 1 minute cadence MAG waveform data
#  2. Magnetic field in RTN coordinates (1 minute cadence)
#
EPOCH                                 B_R                  B_T                  B_N
2018 27935130.000000              15.9074             -7.78493            -0.862089
2018 27935190.000000              15.7965             -8.08440            -0.328763
2018 27935250.000000              15.5331             -7.82134             -2.72996
2018 27935310.000000              13.3925             -8.31553             -7.09683
2018 27935370.000000              9.99924             -6.79259             -11.1723
2018 27935430.000000              8.86889             -8.91250             -10.7614
2018 27935490.000000              8.65751             -8.54408             -10.6693
2018 27935550.000000              11.9987             -10.4244             -4.57417
2018 27935610.000000              10.2239             -11.9463             -4.88350
2018 27935670.000000              11.0553             -10.9961             -5.25275
2018 27935730.000000              14.4784             -6.01939             -5.06353
2018 27935790.000000              14.2640             -1.57956             -6.71855
2018 27935850.000000              12.3439             -4.60100             -8.20759
2018 27935910.000000              16.1874             -2.93957              1.28284
2018 27935970.000000              15.6388             -1.90258              6.39352
2018 27936030.000000              16.4434             -2.97712              3.90122
2018 27936090.000000              16.1899             -5.22630             0.256116
2018 27936150.000000              16.1627             -4.70413             -1.02134
2018 27936210.000000              16.7129             -4.11286              1.13315
2018 27936270.000000              16.7475             -3.96368              2.07338
2018 27936330.000000              16.6741             -4.32944              2.20152
2018 27936390.000000              16.8550             -4.15701            -0.552516
2018 27936450.000000              16.5049             -5.00730             -1.44098
2018 27936510.000000              16.3445             -5.36483             -1.81103
2018 27936570.000000              16.0644             -5.73698             -1.41180
2018 27936630.000000              16.0036             -5.67265             -1.22161
2018 27936690.000000              16.3404             -4.03355             -1.37231
2018 27936750.000000              16.2788             -4.28466             -1.78685
2018 27936810.000000              15.6429             -5.94039             0.147058
2018 27936870.000000              15.0260             -6.79888             -1.11459
2018 27936930.000000              16.1193             -4.81882             0.456313
2018 27936990.000000              16.2306             -4.27315            -0.336546
2018 27937050.000000              16.2236             -4.37170             0.815040
2018 27937110.000000              15.1279             -7.53256             0.624147
2018 27937170.000000              15.6603             -6.57761              2.25701
2018 27937230.000000              15.7471             -6.08436              2.36107
2018 27937290.000000              15.6972             -6.05822              1.53519
2018 27937350.000000              15.2092             -7.22820              2.79560
2018 27937410.000000              15.5440             -6.75992              2.68821
2018 27937470.000000              15.2141             -7.32669              2.52472
2018 27937530.000000              14.1221             -8.97598              3.24816
2018 27937590.000000              13.9915             -8.78299              3.49698
2018 27937650.000000              12.7327             -9.91076              4.74168
2018 27937710.000000              10.8252             -11.7919              4.93720
2018 27937770.000000              15.2125             -5.52173              5.62734
2018 27937830.000000              12.5503             -9.08904            -0.353209
2018 27937890.000000              9.32117             -12.2294             -4.60356
2018 27937950.000000              7.86945             -12.9778             -5.57477
2018 27938010.000000              7.46433             -13.3945             -4.87780
2018 27938070.000000              5.59720             -13.5562             -6.73752
2018 27938130.000000              6.36105             -11.6018             -5.97847
2018 27938190.000000              16.7239             0.963206              3.80247
2018 27938250.000000              16.9178             0.487268              4.14176
2018 27938310.000000              16.3387             0.672189              6.11962
2018 27938370.000000              15.3206             -2.50620              5.65831
2018 27938430.000000              14.3107             -8.19842              2.17273
2018 27938490.000000              15.9130             -4.52399              1.77345
2018 27938550.000000              16.1476             -4.02901              2.13212
2018 27938610.000000              15.1805             -5.50929              4.95132
2018 27938670.000000              14.0799             -5.46423              6.92866
2018 27938730.000000              9.54945             -9.70306              7.38596
2018 27938790.000000              5.31339             -14.3572              6.67059
2018 27938850.000000              6.40920             -13.2216              7.48258
2018 27938910.000000              9.06754             -13.3874            -0.323770
2018 27938970.000000             0.523370             -16.0038             -1.18670
2018 27939030.000000            -0.474531             -14.5373            -0.294738
2018 27939090.000000             -10.7531             -12.3573            -0.794906
2018 27939150.000000             -3.49572             -15.9006             -1.49406
2018 27939210.000000            -0.523119             -16.5462              2.37130
2018 27939270.000000              2.57781             -16.6243              2.79925
2018 27939330.000000              3.19789             -16.0346              5.69095
2018 27939390.000000            -0.200769             -15.2299              7.22870
2018 27939450.000000              3.88159             -13.6582              7.48808
2018 27939510.000000              8.39194             -11.0592              8.27512
2018 27939570.000000              5.31554             -15.5567              2.12451
2018 27939630.000000              11.0903             -11.5840            -0.579485
2018 27939690.000000              13.4418             -8.65023             -1.66815
2018 27939750.000000              13.0666             -8.96265             0.457279
2018 27939810.000000              15.1973             -5.97142              2.36128
2018 27939870.000000              15.7740             -5.10256              2.19823
2018 27939930.000000              15.9276             -4.86133              1.37815
2018 27939990.000000              16.3903             -2.65910            0.0547339
2018 27940050.000000              15.7201              2.89250             -4.96117
2018 27940110.000000              15.8253            -0.681107             -4.59556
2018 27940170.000000              14.8521             -7.16708            -0.282649
2018 27940230.000000              13.6560             -9.37738              2.39561
2018 27940290.000000              14.8328             -8.01504            0.0585832
2018 27940350.000000              13.5906             -9.43814              2.75097
2018 27940410.000000              14.3205             -7.89066              4.13598
2018 27940470.000000              15.8089             -5.26950              2.87228
2018 27940530.000000              14.5989             -7.85667              3.32524
2018 27940590.000000              14.2553             -8.95784              1.77072
2018 27940650.000000              13.5065             -7.58795              4.97484
2018 27940710.000000              14.3700             -6.86173              3.70527
2018 27940770.000000              13.6594             -8.89131              2.60771
2018 27940830.000000              13.7116             -8.37837             -3.57699
2018 27940890.000000              13.8494             -9.70184             0.682297
2018 27940950.000000              14.3883             -9.12953            -0.781419
2018 27941010.000000              15.0360             -7.52246             -1.05057
2018 27941070.000000              13.2089             -6.60306             -4.32198
2018 27941130.000000              14.5482             -7.59717             -3.24864
2018 27941190.000000              15.2248             -7.13705             -1.52264
2018 27941250.000000              16.4280             -1.63568             -3.80348
2018 27941310.000000              11.9737             0.930806             -5.31378
2018 27941370.000000              9.47337             -12.9937             -1.57969
2018 27941430.000000              11.6707             -10.9501            -0.753077
2018 27941490.000000              14.2415             -7.54073             -2.53235
2018 27941550.000000              14.5644             -7.65316            -0.973363
2018 27941610.000000              14.0737             -8.09159            -0.854045
2018 27941670.000000              14.7871             -7.60076            -0.524733
2018 27941730.000000              13.6202             -9.60142            -0.475076
2018 27941790.000000              13.1442             -9.24491             -3.24497
2018 27941850.000000              10.0221             -11.3869             -2.87885
2018 27941910.000000              4.11506             -12.3877             -7.28269
2018 27941970.000000              4.59508             -13.2868             -8.03781
2018 27942030.000000              2.51405             -12.0437             -9.14986
2018 27942090.000000             0.827811             -12.7911             -9.27569
2018 27942150.000000             0.431161             -12.4910             -9.75437
2018 27942210.000000              2.45556             -14.5992             -6.32514
2018 27942270.000000              1.35666             -13.8316             -7.90165
2018 27942330.000000             0.211206             -14.1669             -7.18555
2018 27942390.000000             0.333096             -14.2365             -7.03768
2018 27942450.000000              1.18287             -14.5360             -6.45894
2018 27942510.000000              1.55296             -14.9046             -5.92998
2018 27942570.000000              5.48657             -9.87599             -2.28753
2018 27942630.000000              13.6026              4.11137              7.37197
2018 27942690.000000              14.3846              3.10956              7.18467
2018 27942750.000000              15.0287              1.62123              7.51800
2018 27942810.000000              15.3396             -1.28736              7.23154
2018 27942870.000000              15.5120             -1.07150              4.91104
2018 27942930.000000              13.4863              8.93131              3.34668
2018 27942990.000000              14.2230              8.34323              2.23526
2018 27943050.000000              15.8497              6.18859             0.578209
2018 27943110.000000              16.4563              5.27398            -0.250122
2018 27943170.000000              16.9518              3.77799             0.698603
2018 27943230.000000              16.7994              4.81033             0.718058
2018 27943290.000000              16.3277              5.35652              2.23320
2018 27943350.000000              14.8927              7.90313              2.84504
2018 27943410.000000              15.2223              7.38573              1.60737
2018 27943470.000000              15.1108              6.94169              2.73392
2018 27943530.000000              14.7023              7.38962              2.28178
2018 27943590.000000              14.2952              8.05284              3.07552
2018 27943650.000000              13.8719              9.16585              2.28902
2018 27943710.000000              13.8055              8.89287              2.85185
2018 27943770.000000              12.7425              9.74366              3.70847
2018 27943830.000000              13.6835              7.79234              1.70612
2018 27943890.000000              15.4921              5.42945            -0.490382
2018 27943950.000000              15.2108              6.20664            0.0291156
2018 27944010.000000              14.3392              8.09579              2.36114
2018 27944070.000000              14.5645              7.97880              3.08188
2018 27944130.000000              14.6305              7.38825              4.70176
2018 27944190.000000              15.2544              6.90877              3.43509
2018 27944250.000000              15.7586             0.782333              4.27463
2018 27944310.000000              13.5089              9.37122              3.60503
2018 27944370.000000              12.2605              10.4698              4.77599
2018 27944430.000000              13.1127              10.0819              3.39724
2018 27944490.000000              13.1732              9.75999              4.59754
2018 27944550.000000              11.7480              10.9242              5.74014
2018 27944610.000000              11.5744              11.0593              5.96683
2018 27944670.000000              11.3980              11.2584              5.62634
2018 27944730.000000              10.4789              11.7187              6.35889
2018 27944790.000000              10.6408              11.5499              6.96477
2018 27944850.000000              9.65445              10.3942              9.31118
2018 27944910.000000              12.1168              10.8966              5.04148
2018 27944970.000000              12.2197              11.0529              5.15967
2018 27945030.000000              13.0532              9.55704              6.13123
2018 27945090.000000              11.0138              10.0986              8.27671
2018 27945150.000000              11.2184              7.74496              10.7503
2018 27945210.000000              12.8668              7.14810              8.43141
2018 27945270.000000              12.5714              7.98576              8.17386
2018 27945330.000000              12.7371              9.12392              7.40480
2018 27945390.000000              13.0791              7.73148              7.73243
2018 27945450.000000              14.0409              4.71061              6.19713
2018 27945510.000000              16.3205              4.35731            -0.323325
2018 27945570.000000              15.5407              4.86651              4.62886
2018 27945630.000000              15.3177              6.36159              4.01038
2018 27945690.000000              15.6578              4.30034              5.11878
2018 27945750.000000              15.6637              2.73023              6.30243
2018 27945810.000000              15.8289             0.961969              6.18699
2018 27945870.000000              15.9799              3.16983              4.12945
2018 27945930.000000              15.8877              3.52569              4.20300
2018 27945990.000000              16.1908              1.98378              4.40561
2018 27946050.000000              15.6271            -0.658591              6.60119
2018 27946110.000000              15.6013             -2.01231              6.30048
2018 27946170.000000              15.1291            -0.463275              7.16434
2018 27946230.000000              14.6815             -5.79816              5.76150
2018 27946290.000000              13.0810             -7.15851              7.68616
2018 27946350.000000              14.7212             -4.63390              5.95879
2018 27946410.000000              15.5674             -2.58043              5.81550
2018 27946470.000000              16.0543             0.387667              3.84803
2018 27946530.000000              14.2028             -4.36571              2.40921
2018 27946590.000000              12.7273             -9.54541              2.73534
2018 27946650.000000              13.6234             -8.77962              2.67987
2018 27946710.000000              14.3751             -5.57239              5.10771
2018 27946770.000000              14.3172             -5.34699              3.82065
#  
# Key Parameter and Survey data (labels K0,K1,K2) are preliminary browse data.
# Generated by CDAWeb on: Wed Jun 14 20:43:56 2023
