#              ************************************
#              *****    GLOBAL ATTRIBUTES    ******
#              ************************************
#
#     PROJECT                         LWS>Living With a Star
#     SOURCE_NAME                     PSP>Parker Solar Probe
#     DISCIPLINE                      Solar Physics>Heliospheric Physics
#                                     Space Physics>Interplanetary Studies
#     DATA_TYPE                       L3i>Solar Wind Ion velocity moments and fits
#     DESCRIPTOR                      SWP_SPC>Solar Wind Electrons Alphas and Protons / Solar Probe Cup
#     FILE_NAMING_CONVENTION          source_descriptor_datatype_yyyyMMdd
#     DATA_VERSION                    01
#     PI_NAME                         Justin C. Kasper
#     PI_AFFILIATION                  University of Michigan
#     TEXT                            This file includes the densities, vector velocities, and scalar (radial component)                     
#     TEXT                             temperatures of the solar wind protons measured by the Solar Probe Cup (SPC).                         
#     TEXT                             These are determined both by a direct computation of the velocity moments of                          
#     TEXT                             the reduced distribution function and by attempting to fit the primary peak                           
#                                      in the ion I(V) curve with a Maxwellian model.                                                        
#                                     When such fitting is successful, the data set also includes Maxwellian model                           
#                                      fits to the alpha-particle (He++) and tertiary (usually proton beam or shoulder)                      
#                                      populations.                                                                                          
#     INSTRUMENT_TYPE                 Plasma and Solar Wind
#     MISSION_GROUP                   Parker Solar Probe (PSP)
#     LOGICAL_SOURCE                  psp_swp_spc_l3i
#     LOGICAL_FILE_ID                 psp_swp_spc_l3i_00000000_v01
#     LOGICAL_SOURCE_DESCRIPTION      Parker Solar Probe/SWEAP/SPC level 3 ion data
#     TIME_RESOLUTION                 variable
#     RULES_OF_USE                    NASA open data policy applies. Consultation with the instrument team is strongly                       
#                                      recommended.                                                                                          
#     GENERATED_BY                    Michael L. Stevens (mstevens@cfa.harvard.edu)
#     GENERATION_DATE                 Thu Jan 20 14:38:22 2022
#     ACKNOWLEDGEMENT                 This project acknowledges the Parker Solar Probe SWEAP instrument team and the                         
#                                      SWEAP science data center for providing these solar wind plasma measurements.                         
#     MODS                            2018-12-04: CDF skeleton created (MLS)
#                                     2019-01-20: expanded data quality flags, variable notes
#                                     2019-01-28: modified to include RTN reference frame
#                                     2019-07-23: minor modifications for spdf compliance
#                                     2019-08-20: minor modifications for spdf compliance
#                                     2019-10-01: corrections to axis label fields, expanded var_notes
#                                     2019-11-04: contracted calibration file variables to global attribute
#                                     2019-10-31: inclusion of standalone general_flag variable
#     LINK_TITLE                      Space Science Reviews
#                                     Data Link
#     LINK_TEXT                       SWEAP instrument paper at
#                                     Smithsonian Astrophysical Observatory SWEAP
#     HTTP_LINK                       https://link.springer.com/article/10.1007/s11214-015-0206-3
#                                     http://sweap.cfa.harvard.edu/Data.html
#                                     spase://NASA/NumericalData/ParkerSolarProbe/SWEAP/SPC/Level3/SolarWindMomentsFits/PT0.2185S            
#     CALIBRATIONS_USED               psp_swp_spc_calfiles_spc_uvphithetalookup_20190819
#                                     psp_swp_spc_calfiles_sensorgainoffsets_20190618_v02
#                                     psp_swp_spc_calfiles_sensorcrosstalk_20190210_v00
#                                     psp_swp_spc_calfiles_raytracesim_20181219_v00
#                                     psp_swp_spc_calfiles_dVthermalcorrection_20181217_v00
#                                     psp_swp_spc_calfiles_mvind2volt_20180801
#                                     psp_swp_spc_calfiles_effectiveAreaTable_v00
#     CDAWEB_PARENTS                  psp_swp_spc_l3i_00000000_v01
#                                     psp_swp_spc_l3i_20181120_v01
#     CDFMAJOR                        COL_MAJOR
#
#              ************************************
#              ****  RECORD VARYING VARIABLES  ****
#              ************************************
#
#  1. CDF TT2000 time [ns]
#       NOTES:  Spacecraft ephemeris time, expressed as the number of nanoseconds since J2000 (2000-01-01T12:00:00.000000000) with leap seconds included.    Please refer to CDF TT2000 documentation with regards to this convention.  This time corresponds to the first measurement of the spectrum. Owing to frequent changes in the operating mode, this is usually NOT regular cadence.
#  2. PSP Spacecraft position in the Heliocentric Inertial system, in km
#       NOTES:  Also called Ecliptic J2000. Z is the solar north rotational axis, and X is the solar ascending node on the J2000 ecliptic.
#
EPOCH                               X_HCI                Y_HCI                Z_HCI
2018 27918537.874435         -6.32782E+07         -1.18164E+07          1.74915E+06
2018 27918565.836514         -6.32789E+07         -1.18176E+07          1.74924E+06
2018 27918593.798574         -6.32797E+07         -1.18188E+07          1.74934E+06
2018 27918621.760634         -6.32804E+07         -1.18199E+07          1.74943E+06
2018 27918649.722693         -6.32812E+07         -1.18211E+07          1.74952E+06
2018 27918677.684753         -6.32819E+07         -1.18223E+07          1.74962E+06
2018 27918705.646832         -6.32827E+07         -1.18235E+07          1.74971E+06
2018 27918733.608892         -6.32834E+07         -1.18247E+07          1.74980E+06
2018 27918761.570952         -6.32842E+07         -1.18259E+07          1.74990E+06
2018 27918789.533031         -6.32849E+07         -1.18270E+07          1.74999E+06
2018 27918817.495091         -6.32856E+07         -1.18282E+07          1.75008E+06
2018 27918845.457130         -6.32864E+07         -1.18294E+07          1.75018E+06
2018 27918873.419210         -6.32871E+07         -1.18306E+07          1.75027E+06
2018 27918901.381270         -6.32879E+07         -1.18318E+07          1.75037E+06
2018 27918929.343329         -6.32886E+07         -1.18329E+07          1.75046E+06
2018 27918957.305409         -6.32894E+07         -1.18341E+07          1.75055E+06
2018 27918985.267469         -6.32901E+07         -1.18353E+07          1.75065E+06
2018 27919013.229528         -6.32909E+07         -1.18365E+07          1.75074E+06
2018 27919041.191588         -6.32916E+07         -1.18377E+07          1.75083E+06
2018 27919069.153647         -6.32924E+07         -1.18389E+07          1.75093E+06
2018 27919097.115727         -6.32931E+07         -1.18400E+07          1.75102E+06
2018 27919125.077787         -6.32939E+07         -1.18412E+07          1.75111E+06
2018 27919153.039846         -6.32946E+07         -1.18424E+07          1.75121E+06
2018 27919181.001906         -6.32954E+07         -1.18436E+07          1.75130E+06
2018 27919208.963965         -6.32961E+07         -1.18448E+07          1.75139E+06
2018 27919236.926045         -6.32969E+07         -1.18460E+07          1.75149E+06
2018 27919264.888105         -6.32976E+07         -1.18471E+07          1.75158E+06
2018 27919292.850164         -6.32984E+07         -1.18483E+07          1.75167E+06
2018 27919320.812244         -6.32991E+07         -1.18495E+07          1.75177E+06
2018 27919348.774283         -6.32998E+07         -1.18507E+07          1.75186E+06
2018 27919376.736343         -6.33006E+07         -1.18519E+07          1.75195E+06
2018 27919404.698423         -6.33013E+07         -1.18530E+07          1.75205E+06
2018 27919432.660482         -6.33021E+07         -1.18542E+07          1.75214E+06
2018 27919460.622542         -6.33028E+07         -1.18554E+07          1.75223E+06
2018 27919488.584622         -6.33036E+07         -1.18566E+07          1.75233E+06
2018 27919516.546661         -6.33043E+07         -1.18578E+07          1.75242E+06
2018 27919544.508741         -6.33051E+07         -1.18590E+07          1.75251E+06
2018 27919572.470800         -6.33058E+07         -1.18601E+07          1.75261E+06
2018 27919600.432860         -6.33066E+07         -1.18613E+07          1.75270E+06
2018 27919628.394940         -6.33073E+07         -1.18625E+07          1.75280E+06
2018 27919656.356999         -6.33081E+07         -1.18637E+07          1.75289E+06
2018 27919684.319059         -6.33088E+07         -1.18649E+07          1.75298E+06
2018 27919712.281118         -6.33096E+07         -1.18661E+07          1.75308E+06
2018 27919740.243178         -6.33103E+07         -1.18672E+07          1.75317E+06
2018 27919768.205258         -6.33111E+07         -1.18684E+07          1.75326E+06
2018 27919796.167317         -6.33118E+07         -1.18696E+07          1.75336E+06
2018 27919824.129377         -6.33125E+07         -1.18708E+07          1.75345E+06
2018 27919852.091437         -6.33133E+07         -1.18720E+07          1.75354E+06
2018 27919880.053496         -6.33140E+07         -1.18731E+07          1.75364E+06
2018 27919908.015576         -6.33148E+07         -1.18743E+07          1.75373E+06
2018 27919935.977635         -6.33155E+07         -1.18755E+07          1.75382E+06
2018 27919963.939695         -6.33163E+07         -1.18767E+07          1.75392E+06
2018 27919991.901755         -6.33170E+07         -1.18779E+07          1.75401E+06
2018 27920019.863834         -6.33178E+07         -1.18791E+07          1.75410E+06
2018 27920047.825874         -6.33185E+07         -1.18802E+07          1.75420E+06
2018 27920075.787954         -6.33193E+07         -1.18814E+07          1.75429E+06
2018 27920103.750013         -6.33200E+07         -1.18826E+07          1.75438E+06
2018 27920131.712073         -6.33208E+07         -1.18838E+07          1.75448E+06
2018 27920159.674152         -6.33215E+07         -1.18850E+07          1.75457E+06
2018 27920187.636192         -6.33222E+07         -1.18862E+07          1.75466E+06
2018 27920215.598272         -6.33230E+07         -1.18873E+07          1.75476E+06
2018 27920243.560331         -6.33237E+07         -1.18885E+07          1.75485E+06
2018 27920271.522391         -6.33245E+07         -1.18897E+07          1.75494E+06
2018 27920299.484470         -6.33252E+07         -1.18909E+07          1.75504E+06
2018 27920327.446530         -6.33260E+07         -1.18921E+07          1.75513E+06
2018 27920355.408589         -6.33267E+07         -1.18932E+07          1.75522E+06
2018 27920383.370649         -6.33275E+07         -1.18944E+07          1.75532E+06
2018 27920411.332709         -6.33282E+07         -1.18956E+07          1.75541E+06
2018 27920439.294788         -6.33290E+07         -1.18968E+07          1.75550E+06
2018 27920467.256848         -6.33297E+07         -1.18980E+07          1.75560E+06
2018 27920495.218908         -6.33305E+07         -1.18992E+07          1.75569E+06
2018 27920523.180967         -6.33312E+07         -1.19003E+07          1.75578E+06
2018 27920551.143027         -6.33319E+07         -1.19015E+07          1.75588E+06
2018 27920579.105086         -6.33327E+07         -1.19027E+07          1.75597E+06
2018 27920607.067166         -6.33334E+07         -1.19039E+07          1.75607E+06
2018 27920635.029226         -6.33342E+07         -1.19051E+07          1.75616E+06
2018 27920662.991285         -6.33349E+07         -1.19062E+07          1.75625E+06
2018 27920690.953345         -6.33357E+07         -1.19074E+07          1.75635E+06
2018 27920718.915405         -6.33364E+07         -1.19086E+07          1.75644E+06
2018 27920746.877484         -6.33372E+07         -1.19098E+07          1.75653E+06
2018 27920774.839544         -6.33379E+07         -1.19110E+07          1.75663E+06
2018 27920802.801603         -6.33387E+07         -1.19122E+07          1.75672E+06
2018 27920830.763663         -6.33394E+07         -1.19133E+07          1.75681E+06
2018 27920858.725723         -6.33402E+07         -1.19145E+07          1.75691E+06
2018 27920886.687802         -6.33409E+07         -1.19157E+07          1.75700E+06
2018 27920914.649862         -6.33416E+07         -1.19169E+07          1.75709E+06
2018 27920942.611922         -6.33424E+07         -1.19181E+07          1.75719E+06
2018 27920970.574001         -6.33431E+07         -1.19192E+07          1.75728E+06
2018 27920998.536041         -6.33439E+07         -1.19204E+07          1.75737E+06
2018 27921026.498120         -6.33446E+07         -1.19216E+07          1.75747E+06
2018 27921054.460180         -6.33454E+07         -1.19228E+07          1.75756E+06
2018 27921082.422240         -6.33461E+07         -1.19240E+07          1.75765E+06
2018 27921110.384319         -6.33469E+07         -1.19252E+07          1.75775E+06
2018 27921138.346379         -6.33476E+07         -1.19263E+07          1.75784E+06
2018 27921166.308418         -6.33484E+07         -1.19275E+07          1.75793E+06
2018 27921194.270498         -6.33491E+07         -1.19287E+07          1.75803E+06
2018 27921222.232558         -6.33498E+07         -1.19299E+07          1.75812E+06
2018 27921250.194617         -6.33506E+07         -1.19311E+07          1.75821E+06
2018 27921278.156697         -6.33513E+07         -1.19323E+07          1.75831E+06
2018 27921306.118756         -6.33521E+07         -1.19334E+07          1.75840E+06
2018 27921334.080816         -6.33528E+07         -1.19346E+07          1.75849E+06
2018 27921362.042876         -6.33536E+07         -1.19358E+07          1.75859E+06
2018 27921390.004935         -6.33543E+07         -1.19370E+07          1.75868E+06
2018 27921417.967015         -6.33551E+07         -1.19382E+07          1.75877E+06
2018 27921445.929075         -6.33558E+07         -1.19393E+07          1.75887E+06
2018 27921473.891134         -6.33566E+07         -1.19405E+07          1.75896E+06
2018 27921501.853194         -6.33573E+07         -1.19417E+07          1.75905E+06
2018 27921529.815253         -6.33580E+07         -1.19429E+07          1.75915E+06
2018 27921557.777313         -6.33588E+07         -1.19441E+07          1.75924E+06
2018 27921585.739393         -6.33595E+07         -1.19453E+07          1.75933E+06
2018 27921613.701452         -6.33603E+07         -1.19464E+07          1.75943E+06
2018 27921641.663512         -6.33610E+07         -1.19476E+07          1.75952E+06
2018 27921669.625571         -6.33618E+07         -1.19488E+07          1.75961E+06
2018 27921697.587631         -6.33625E+07         -1.19500E+07          1.75971E+06
2018 27921725.549711         -6.33633E+07         -1.19512E+07          1.75980E+06
2018 27921753.511770         -6.33640E+07         -1.19523E+07          1.75990E+06
2018 27921781.473830         -6.33648E+07         -1.19535E+07          1.75999E+06
2018 27921809.435889         -6.33655E+07         -1.19547E+07          1.76008E+06
2018 27921837.397949         -6.33662E+07         -1.19559E+07          1.76018E+06
2018 27921865.360029         -6.33670E+07         -1.19571E+07          1.76027E+06
2018 27921893.322088         -6.33677E+07         -1.19583E+07          1.76036E+06
2018 27921921.284148         -6.33685E+07         -1.19594E+07          1.76046E+06
2018 27921949.246228         -6.33692E+07         -1.19606E+07          1.76055E+06
2018 27921977.208267         -6.33700E+07         -1.19618E+07          1.76064E+06
2018 27922005.170347         -6.33707E+07         -1.19630E+07          1.76074E+06
2018 27922033.132406         -6.33715E+07         -1.19642E+07          1.76083E+06
2018 27922061.094466         -6.33722E+07         -1.19653E+07          1.76092E+06
2018 27922089.056546         -6.33729E+07         -1.19665E+07          1.76102E+06
2018 27922117.018605         -6.33737E+07         -1.19677E+07          1.76111E+06
2018 27922144.980645         -6.33744E+07         -1.19689E+07          1.76120E+06
2018 27922172.942724         -6.33752E+07         -1.19701E+07          1.76130E+06
2018 27922200.904784         -6.33759E+07         -1.19713E+07          1.76139E+06
2018 27922228.866844         -6.33767E+07         -1.19724E+07          1.76148E+06
2018 27922256.828923         -6.33774E+07         -1.19736E+07          1.76158E+06
2018 27922284.790983         -6.33782E+07         -1.19748E+07          1.76167E+06
2018 27922312.753042         -6.33789E+07         -1.19760E+07          1.76176E+06
2018 27922340.715102         -6.33796E+07         -1.19772E+07          1.76186E+06
2018 27922368.677162         -6.33804E+07         -1.19783E+07          1.76195E+06
2018 27922396.639241         -6.33811E+07         -1.19795E+07          1.76204E+06
2018 27922424.601301         -6.33819E+07         -1.19807E+07          1.76214E+06
2018 27922452.563361         -6.33826E+07         -1.19819E+07          1.76223E+06
2018 27922480.525420         -6.33834E+07         -1.19831E+07          1.76232E+06
2018 27922508.487480         -6.33841E+07         -1.19843E+07          1.76242E+06
2018 27922536.449559         -6.33849E+07         -1.19854E+07          1.76251E+06
2018 27922564.411619         -6.33856E+07         -1.19866E+07          1.76260E+06
2018 27922592.373679         -6.33863E+07         -1.19878E+07          1.76270E+06
2018 27922620.335738         -6.33871E+07         -1.19890E+07          1.76279E+06
2018 27922648.297798         -6.33878E+07         -1.19902E+07          1.76288E+06
2018 27922676.259858         -6.33886E+07         -1.19913E+07          1.76298E+06
2018 27922704.221937         -6.33893E+07         -1.19925E+07          1.76307E+06
2018 27922732.183997         -6.33901E+07         -1.19937E+07          1.76316E+06
2018 27922760.146056         -6.33908E+07         -1.19949E+07          1.76326E+06
2018 27922788.108116         -6.33916E+07         -1.19961E+07          1.76335E+06
2018 27922816.070176         -6.33923E+07         -1.19973E+07          1.76344E+06
2018 27922844.032255         -6.33930E+07         -1.19984E+07          1.76354E+06
2018 27922871.994315         -6.33938E+07         -1.19996E+07          1.76363E+06
2018 27922899.956374         -6.33945E+07         -1.20008E+07          1.76372E+06
2018 27922927.918434         -6.33953E+07         -1.20020E+07          1.76382E+06
2018 27922955.880494         -6.33960E+07         -1.20032E+07          1.76391E+06
2018 27922983.842573         -6.33968E+07         -1.20043E+07          1.76400E+06
2018 27923011.804633         -6.33975E+07         -1.20055E+07          1.76410E+06
2018 27923039.766692         -6.33982E+07         -1.20067E+07          1.76419E+06
2018 27923067.728752         -6.33990E+07         -1.20079E+07          1.76428E+06
2018 27923095.690812         -6.33997E+07         -1.20091E+07          1.76438E+06
2018 27923123.652891         -6.34005E+07         -1.20103E+07          1.76447E+06
2018 27923151.614951         -6.34012E+07         -1.20114E+07          1.76456E+06
2018 27923179.577010         -6.34020E+07         -1.20126E+07          1.76466E+06
2018 27923207.539070         -6.34027E+07         -1.20138E+07          1.76475E+06
2018 27923235.501130         -6.34035E+07         -1.20150E+07          1.76484E+06
2018 27923263.463189         -6.34042E+07         -1.20162E+07          1.76494E+06
2018 27923291.425269         -6.34049E+07         -1.20173E+07          1.76503E+06
2018 27923319.387329         -6.34057E+07         -1.20185E+07          1.76512E+06
2018 27923347.349388         -6.34064E+07         -1.20197E+07          1.76522E+06
2018 27923375.311448         -6.34072E+07         -1.20209E+07          1.76531E+06
2018 27923403.273507         -6.34079E+07         -1.20221E+07          1.76540E+06
2018 27923431.235587         -6.34087E+07         -1.20233E+07          1.76550E+06
2018 27923459.197647         -6.34094E+07         -1.20244E+07          1.76559E+06
2018 27923487.159706         -6.34101E+07         -1.20256E+07          1.76568E+06
2018 27923515.121766         -6.34109E+07         -1.20268E+07          1.76578E+06
2018 27923543.083826         -6.34116E+07         -1.20280E+07          1.76587E+06
2018 27923571.045905         -6.34124E+07         -1.20292E+07          1.76596E+06
2018 27923599.007965         -6.34131E+07         -1.20303E+07          1.76606E+06
2018 27923626.970024         -6.34139E+07         -1.20315E+07          1.76615E+06
2018 27923654.932084         -6.34146E+07         -1.20327E+07          1.76624E+06
2018 27923682.894144         -6.34153E+07         -1.20339E+07          1.76634E+06
2018 27923710.856203         -6.34161E+07         -1.20351E+07          1.76643E+06
2018 27923738.818283         -6.34168E+07         -1.20362E+07          1.76652E+06
2018 27923766.780342         -6.34176E+07         -1.20374E+07          1.76662E+06
2018 27923794.742402         -6.34183E+07         -1.20386E+07          1.76671E+06
2018 27923822.704462         -6.34191E+07         -1.20398E+07          1.76680E+06
2018 27923850.666521         -6.34198E+07         -1.20410E+07          1.76690E+06
2018 27923878.628601         -6.34206E+07         -1.20422E+07          1.76699E+06
2018 27923906.590661         -6.34213E+07         -1.20433E+07          1.76708E+06
2018 27923934.552720         -6.34220E+07         -1.20445E+07          1.76718E+06
2018 27923962.514780         -6.34228E+07         -1.20457E+07          1.76727E+06
2018 27923990.476839         -6.34235E+07         -1.20469E+07          1.76736E+06
2018 27924018.438919         -6.34243E+07         -1.20481E+07          1.76746E+06
2018 27924046.400979         -6.34250E+07         -1.20492E+07          1.76755E+06
2018 27924074.363038         -6.34258E+07         -1.20504E+07          1.76764E+06
2018 27924102.325098         -6.34265E+07         -1.20516E+07          1.76774E+06
2018 27924130.287157         -6.34272E+07         -1.20528E+07          1.76783E+06
2018 27924158.249217         -6.34280E+07         -1.20540E+07          1.76792E+06
2018 27924186.211297         -6.34287E+07         -1.20552E+07          1.76802E+06
2018 27924214.173356         -6.34295E+07         -1.20563E+07          1.76811E+06
2018 27924242.135416         -6.34302E+07         -1.20575E+07          1.76820E+06
2018 27924270.097475         -6.34310E+07         -1.20587E+07          1.76830E+06
2018 27924298.059535         -6.34317E+07         -1.20599E+07          1.76839E+06
2018 27924326.021615         -6.34324E+07         -1.20611E+07          1.76848E+06
2018 27924353.983674         -6.34332E+07         -1.20622E+07          1.76858E+06
2018 27924381.945734         -6.34339E+07         -1.20634E+07          1.76867E+06
2018 27924409.907794         -6.34347E+07         -1.20646E+07          1.76876E+06
2018 27924437.869853         -6.34354E+07         -1.20658E+07          1.76886E+06
2018 27924465.831933         -6.34362E+07         -1.20670E+07          1.76895E+06
2018 27924493.793992         -6.34369E+07         -1.20682E+07          1.76904E+06
2018 27924521.756032         -6.34376E+07         -1.20693E+07          1.76914E+06
2018 27924549.718112         -6.34384E+07         -1.20705E+07          1.76923E+06
2018 27924577.680171         -6.34391E+07         -1.20717E+07          1.76932E+06
2018 27924605.642251         -6.34399E+07         -1.20729E+07          1.76942E+06
2018 27924633.604310         -6.34406E+07         -1.20741E+07          1.76951E+06
2018 27924661.566350         -6.34413E+07         -1.20752E+07          1.76960E+06
2018 27924689.528430         -6.34421E+07         -1.20764E+07          1.76970E+06
2018 27924717.490489         -6.34428E+07         -1.20776E+07          1.76979E+06
2018 27924745.452549         -6.34436E+07         -1.20788E+07          1.76988E+06
2018 27924773.414628         -6.34443E+07         -1.20800E+07          1.76998E+06
2018 27924801.376668         -6.34451E+07         -1.20811E+07          1.77007E+06
2018 27924829.338748         -6.34458E+07         -1.20823E+07          1.77016E+06
2018 27924857.300807         -6.34465E+07         -1.20835E+07          1.77026E+06
2018 27924885.262867         -6.34473E+07         -1.20847E+07          1.77035E+06
2018 27924913.224947         -6.34480E+07         -1.20859E+07          1.77044E+06
2018 27924941.186986         -6.34488E+07         -1.20871E+07          1.77054E+06
2018 27924969.149066         -6.34495E+07         -1.20882E+07          1.77063E+06
2018 27924997.111126         -6.34503E+07         -1.20894E+07          1.77072E+06
2018 27925025.073185         -6.34510E+07         -1.20906E+07          1.77082E+06
2018 27925053.035265         -6.34517E+07         -1.20918E+07          1.77091E+06
2018 27925080.997304         -6.34525E+07         -1.20930E+07          1.77100E+06
2018 27925108.959364         -6.34532E+07         -1.20941E+07          1.77110E+06
2018 27925136.921443         -6.34540E+07         -1.20953E+07          1.77119E+06
2018 27925164.883503         -6.34547E+07         -1.20965E+07          1.77128E+06
2018 27925192.845563         -6.34555E+07         -1.20977E+07          1.77138E+06
2018 27925220.807642         -6.34562E+07         -1.20989E+07          1.77147E+06
2018 27925248.769682         -6.34569E+07         -1.21000E+07          1.77156E+06
2018 27925276.731762         -6.34577E+07         -1.21012E+07          1.77166E+06
2018 27925304.693821         -6.34584E+07         -1.21024E+07          1.77175E+06
2018 27925332.655881         -6.34592E+07         -1.21036E+07          1.77184E+06
2018 27925360.617940         -6.34599E+07         -1.21048E+07          1.77194E+06
2018 27925388.580000         -6.34606E+07         -1.21060E+07          1.77203E+06
2018 27925416.542080         -6.34614E+07         -1.21071E+07          1.77212E+06
2018 27925444.504139         -6.34621E+07         -1.21083E+07          1.77222E+06
2018 27925472.466199         -6.34629E+07         -1.21095E+07          1.77231E+06
2018 27925500.428259         -6.34636E+07         -1.21107E+07          1.77240E+06
2018 27925528.390318         -6.34644E+07         -1.21119E+07          1.77250E+06
2018 27925556.352378         -6.34651E+07         -1.21130E+07          1.77259E+06
2018 27925584.314457         -6.34658E+07         -1.21142E+07          1.77268E+06
2018 27925612.276517         -6.34666E+07         -1.21154E+07          1.77278E+06
2018 27925640.238577         -6.34673E+07         -1.21166E+07          1.77287E+06
2018 27925668.200636         -6.34681E+07         -1.21178E+07          1.77296E+06
2018 27925696.162696         -6.34688E+07         -1.21190E+07          1.77306E+06
2018 27925724.124775         -6.34695E+07         -1.21201E+07          1.77315E+06
2018 27925752.086835         -6.34703E+07         -1.21213E+07          1.77324E+06
2018 27925780.048894         -6.34710E+07         -1.21225E+07          1.77334E+06
2018 27925808.010954         -6.34718E+07         -1.21237E+07          1.77343E+06
2018 27925835.973014         -6.34725E+07         -1.21249E+07          1.77352E+06
2018 27925863.935093         -6.34733E+07         -1.21260E+07          1.77362E+06
2018 27925891.897153         -6.34740E+07         -1.21272E+07          1.77371E+06
2018 27925919.859193         -6.34747E+07         -1.21284E+07          1.77380E+06
2018 27925947.821252         -6.34755E+07         -1.21296E+07          1.77390E+06
2018 27925975.783332         -6.34762E+07         -1.21308E+07          1.77399E+06
2018 27926003.745392         -6.34770E+07         -1.21319E+07          1.77408E+06
2018 27926031.707451         -6.34777E+07         -1.21331E+07          1.77418E+06
2018 27926059.669511         -6.34784E+07         -1.21343E+07          1.77427E+06
2018 27926087.631590         -6.34792E+07         -1.21355E+07          1.77436E+06
2018 27926115.593650         -6.34799E+07         -1.21367E+07          1.77446E+06
2018 27926143.555710         -6.34807E+07         -1.21379E+07          1.77455E+06
2018 27926171.517769         -6.34814E+07         -1.21390E+07          1.77464E+06
2018 27926199.479829         -6.34821E+07         -1.21402E+07          1.77474E+06
2018 27926227.441908         -6.34829E+07         -1.21414E+07          1.77483E+06
2018 27926255.403968         -6.34836E+07         -1.21426E+07          1.77492E+06
2018 27926283.366028         -6.34844E+07         -1.21438E+07          1.77502E+06
2018 27926311.328087         -6.34851E+07         -1.21449E+07          1.77511E+06
2018 27926339.290147         -6.34858E+07         -1.21461E+07          1.77520E+06
2018 27926367.252226         -6.34866E+07         -1.21473E+07          1.77530E+06
2018 27926395.214286         -6.34873E+07         -1.21485E+07          1.77539E+06
2018 27926423.176346         -6.34881E+07         -1.21497E+07          1.77548E+06
2018 27926451.138405         -6.34888E+07         -1.21508E+07          1.77558E+06
2018 27926479.100465         -6.34896E+07         -1.21520E+07          1.77567E+06
2018 27926507.062525         -6.34903E+07         -1.21532E+07          1.77576E+06
2018 27926535.024604         -6.34910E+07         -1.21544E+07          1.77586E+06
2018 27926562.986664         -6.34918E+07         -1.21556E+07          1.77595E+06
2018 27926590.948723         -6.34925E+07         -1.21568E+07          1.77604E+06
2018 27926618.910783         -6.34933E+07         -1.21579E+07          1.77614E+06
2018 27926646.872843         -6.34940E+07         -1.21591E+07          1.77623E+06
2018 27926674.834922         -6.34947E+07         -1.21603E+07          1.77632E+06
2018 27926702.796982         -6.34955E+07         -1.21615E+07          1.77642E+06
2018 27926730.759041         -6.34962E+07         -1.21627E+07          1.77651E+06
2018 27926758.721101         -6.34970E+07         -1.21638E+07          1.77660E+06
2018 27926786.683161         -6.34977E+07         -1.21650E+07          1.77670E+06
2018 27926814.645240         -6.34984E+07         -1.21662E+07          1.77679E+06
2018 27926842.607280         -6.34992E+07         -1.21674E+07          1.77688E+06
2018 27926870.569340         -6.34999E+07         -1.21686E+07          1.77698E+06
2018 27926898.531419         -6.35007E+07         -1.21697E+07          1.77707E+06
2018 27926926.493479         -6.35014E+07         -1.21709E+07          1.77716E+06
2018 27926954.455538         -6.35021E+07         -1.21721E+07          1.77726E+06
2018 27926982.417598         -6.35029E+07         -1.21733E+07          1.77735E+06
2018 27927010.379658         -6.35036E+07         -1.21745E+07          1.77744E+06
2018 27927038.341737         -6.35044E+07         -1.21756E+07          1.77753E+06
2018 27927066.303797         -6.35051E+07         -1.21768E+07          1.77763E+06
2018 27927094.265856         -6.35058E+07         -1.21780E+07          1.77772E+06
2018 27927122.227916         -6.35066E+07         -1.21792E+07          1.77781E+06
2018 27927150.189976         -6.35073E+07         -1.21804E+07          1.77791E+06
2018 27927178.152055         -6.35081E+07         -1.21816E+07          1.77800E+06
2018 27927206.114115         -6.35088E+07         -1.21827E+07          1.77809E+06
2018 27927234.076174         -6.35095E+07         -1.21839E+07          1.77819E+06
2018 27927262.038234         -6.35103E+07         -1.21851E+07          1.77828E+06
2018 27927290.000294         -6.35110E+07         -1.21863E+07          1.77837E+06
2018 27927317.962353         -6.35118E+07         -1.21875E+07          1.77847E+06
2018 27927345.924433         -6.35125E+07         -1.21886E+07          1.77856E+06
2018 27927373.886492         -6.35132E+07         -1.21898E+07          1.77865E+06
2018 27927401.848552         -6.35140E+07         -1.21910E+07          1.77875E+06
2018 27927429.810612         -6.35147E+07         -1.21922E+07          1.77884E+06
2018 27927457.772672         -6.35155E+07         -1.21934E+07          1.77893E+06
2018 27927485.734751         -6.35162E+07         -1.21945E+07          1.77903E+06
2018 27927513.696791         -6.35169E+07         -1.21957E+07          1.77912E+06
2018 27927541.658870         -6.35177E+07         -1.21969E+07          1.77921E+06
2018 27927569.620930         -6.35184E+07         -1.21981E+07          1.77931E+06
2018 27927597.582989         -6.35192E+07         -1.21993E+07          1.77940E+06
2018 27927625.545069         -6.35199E+07         -1.22004E+07          1.77949E+06
2018 27927653.507109         -6.35206E+07         -1.22016E+07          1.77959E+06
2018 27927681.469168         -6.35214E+07         -1.22028E+07          1.77968E+06
2018 27927709.431248         -6.35221E+07         -1.22040E+07          1.77977E+06
2018 27927737.393308         -6.35229E+07         -1.22052E+07          1.77987E+06
2018 27927765.355387         -6.35236E+07         -1.22064E+07          1.77996E+06
2018 27927793.317427         -6.35243E+07         -1.22075E+07          1.78005E+06
2018 27927821.279486         -6.35251E+07         -1.22087E+07          1.78015E+06
